gate,name,passed,status,value,threshold,reason,details
F1,Injection recovery,False,NOT_EVALUATED,0.0,0.05,not_evaluated_in_standalone_metrics; reserved for runner-level injection test,"{'inj_eps_true': 0.05, 'note': 'This gate is marked NOT_EVALUATED here, not failed scientifically.'}"
F2,Controls collapse,True,PASS,0.8611111111111112,0.75,ok,"{'failed_control_types': [], 'control_summaries': [{'control_type': 'circular_rng_shift', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.6444444444444445, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.022222222222222223, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -135.4945996611466, 'max_bic_improvement': -123.2788144588867, 'median_max_ll_improvement': -3.142497105020084, 'max_ll_improvement': 3.9177268295807153, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.9722222222222222, 'fraction_runs_collapsed_overall': 0.9722222222222222, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}, {'control_type': 'conditional_target_shuffle', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.48888888888888893, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.02222222222222223, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -135.5534983749901, 'max_bic_improvement': -122.94562829179904, 'median_max_ll_improvement': -4.262405997011683, 'max_ll_improvement': -0.25141777211592853, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.9166666666666666, 'fraction_runs_collapsed_overall': 0.9166666666666666, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}, {'control_type': 'stage_preserving_rng_shuffle', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.6222222222222223, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.06666666666666668, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -136.0799733668498, 'max_bic_improvement': -121.85718803067539, 'median_max_ll_improvement': -3.3645955847775895, 'max_ll_improvement': 3.5236993283588163, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.8611111111111112, 'fraction_runs_collapsed_overall': 0.8611111111111112, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}, {'control_type': 'subject_mismatch', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.6222222222222223, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.044444444444444446, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -137.07681147615904, 'max_bic_improvement': -121.29247109729386, 'median_max_ll_improvement': -3.789778694560596, 'max_ll_improvement': 5.889016422016539, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.8888888888888888, 'fraction_runs_collapsed_overall': 0.8888888888888888, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}, {'control_type': 'within_subject_eeg_shuffle', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.6000000000000001, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.044444444444444446, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -139.81965551429607, 'max_bic_improvement': -122.05260107122922, 'median_max_ll_improvement': -4.386236696225296, 'max_ll_improvement': 1.7228026876910008, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.9444444444444444, 'fraction_runs_collapsed_overall': 0.9444444444444444, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}, {'control_type': 'within_subject_rng_shuffle', 'n_runs': 36, 'n_valid_runs': 36, 'median_max_baseline_eps_test': 0.8, 'median_max_augmented_eps_test': 0.8, 'mean_max_augmented_eps_test': 0.6222222222222223, 'max_augmented_eps_test': 0.8, 'median_max_conditional_lift': 0.0, 'mean_max_conditional_lift': 0.044444444444444446, 'max_conditional_lift': 0.8, 'median_max_bic_improvement': -135.38280066543075, 'max_bic_improvement': -119.6032999148274, 'median_max_ll_improvement': -3.013169657414437, 'max_ll_improvement': 2.644526397718437, 'median_eps_saturation_fraction': 0.5, 'max_eps_saturation_fraction': 1.0, 'fraction_runs_below_control_tol': 0.9444444444444444, 'fraction_runs_collapsed_overall': 0.9444444444444444, 'control_tol': 0.05, 'passed': True, 'reason': 'ok'}]}"
F3,Holdout generalization,True,PASS,1.0,1.0,valid ref/calib/test conditional evaluations exist,"{'n_valid_pair_rows': 84, 'n_total_pair_rows': 84, 'split': 'reference_train -> calibration -> test_holdout'}"
F5,Sensitivity stability,False,NOT_EVALUATED,0.0,0.12,not_evaluated_in_standalone_metrics; reserved for runner-level sensitivity test,{}
F6,Conditional lift,True,PASS,0.8,0.03,ok,"{'max_primary_conditional_lift': 0.8, 'max_primary_augmented_eps_test': 0.8, 'strong_eps_min': 0.07, 'primary_rows': [{'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -3461.7217421413907, 'augmented_ll_test': -3615.553747559576, 'll_improvement': -153.83200541818542, 'baseline_bic_test': 7492.369305616232, 'augmented_bic_test': 8368.959137786052, 'bic_improvement': -876.5898321698205, 'baseline_aic_test': 7067.443484282781, 'augmented_aic_test': 7519.107495119152, 'aic_improvement': -451.6640108363709, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.0, 'conditional_lift': 0.0, 'baseline_ll_test': -1870.0504208475213, 'augmented_ll_test': -1872.9869017265116, 'll_improvement': -2.936480878990096, 'baseline_bic_test': 3755.9028557990273, 'augmented_bic_test': 3888.1919303888862, 'bic_improvement': -132.28907458985896, 'baseline_aic_test': 3744.1008416950426, 'augmented_aic_test': 3781.973803453023, 'aic_improvement': -37.87296175798019, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -2791.120643891387, 'augmented_ll_test': -2959.705352796389, 'll_improvement': -168.58470890500257, 'baseline_bic_test': 6123.031685927788, 'augmented_bic_test': 7000.991501882809, 'bic_improvement': -877.9598159550205, 'baseline_aic_test': 5726.241287782774, 'augmented_aic_test': 6207.410705592779, 'aic_improvement': -481.16941781000514, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 0, 'fraction_positive_lift': 0.0, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.8, 'conditional_lift': 0.8, 'baseline_ll_test': -1267.0309236091891, 'augmented_ll_test': -1274.2703481417852, 'll_improvement': -7.239424532596104, 'baseline_bic_test': 2549.082708331134, 'augmented_bic_test': 2683.7284462983744, 'bic_improvement': -134.64573796724017, 'baseline_aic_test': 2538.0618472183783, 'augmented_aic_test': 2584.5406962835705, 'aic_improvement': -46.47884906519221, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 4, 'fraction_positive_lift': 0.4, 'reason': 'ok'}]}"
F7,Subject consistency,False,FAIL,0.4,0.6,max_primary_fraction_positive_lift=0.400000,"{'max_primary_fraction_positive_lift': 0.4, 'primary_rows': [{'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -3461.7217421413907, 'augmented_ll_test': -3615.553747559576, 'll_improvement': -153.83200541818542, 'baseline_bic_test': 7492.369305616232, 'augmented_bic_test': 8368.959137786052, 'bic_improvement': -876.5898321698205, 'baseline_aic_test': 7067.443484282781, 'augmented_aic_test': 7519.107495119152, 'aic_improvement': -451.6640108363709, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.0, 'conditional_lift': 0.0, 'baseline_ll_test': -1870.0504208475213, 'augmented_ll_test': -1872.9869017265116, 'll_improvement': -2.936480878990096, 'baseline_bic_test': 3755.9028557990273, 'augmented_bic_test': 3888.1919303888862, 'bic_improvement': -132.28907458985896, 'baseline_aic_test': 3744.1008416950426, 'augmented_aic_test': 3781.973803453023, 'aic_improvement': -37.87296175798019, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -2791.120643891387, 'augmented_ll_test': -2959.705352796389, 'll_improvement': -168.58470890500257, 'baseline_bic_test': 6123.031685927788, 'augmented_bic_test': 7000.991501882809, 'bic_improvement': -877.9598159550205, 'baseline_aic_test': 5726.241287782774, 'augmented_aic_test': 6207.410705592779, 'aic_improvement': -481.16941781000514, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 0, 'fraction_positive_lift': 0.0, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.8, 'conditional_lift': 0.8, 'baseline_ll_test': -1267.0309236091891, 'augmented_ll_test': -1274.2703481417852, 'll_improvement': -7.239424532596104, 'baseline_bic_test': 2549.082708331134, 'augmented_bic_test': 2683.7284462983744, 'bic_improvement': -134.64573796724017, 'baseline_aic_test': 2538.0618472183783, 'augmented_aic_test': 2584.5406962835705, 'aic_improvement': -46.47884906519221, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 4, 'fraction_positive_lift': 0.4, 'reason': 'ok'}]}"
F8,Complexity penalty / BIC,False,FAIL,-132.28907458985896,0.0,best_primary_bic_improvement=-132.289075,"{'max_primary_bic_improvement': -132.28907458985896, 'primary_rows': [{'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -3461.7217421413907, 'augmented_ll_test': -3615.553747559576, 'll_improvement': -153.83200541818542, 'baseline_bic_test': 7492.369305616232, 'augmented_bic_test': 8368.959137786052, 'bic_improvement': -876.5898321698205, 'baseline_aic_test': 7067.443484282781, 'augmented_aic_test': 7519.107495119152, 'aic_improvement': -451.6640108363709, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'no_wake', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.0, 'conditional_lift': 0.0, 'baseline_ll_test': -1870.0504208475213, 'augmented_ll_test': -1872.9869017265116, 'll_improvement': -2.936480878990096, 'baseline_bic_test': 3755.9028557990273, 'augmented_bic_test': 3888.1919303888862, 'bic_improvement': -132.28907458985896, 'baseline_aic_test': 3744.1008416950426, 'augmented_aic_test': 3781.973803453023, 'aic_improvement': -37.87296175798019, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 1, 'fraction_positive_lift': 0.1, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'EEG_next', 'baseline_model': 'C0_EEG_next_given_EEG', 'augmented_model': 'C1_EEG_next_given_EEG_RNG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.8, 'augmented_eps_test': 0.8, 'conditional_lift': 0.0, 'baseline_ll_test': -2791.120643891387, 'augmented_ll_test': -2959.705352796389, 'll_improvement': -168.58470890500257, 'baseline_bic_test': 6123.031685927788, 'augmented_bic_test': 7000.991501882809, 'bic_improvement': -877.9598159550205, 'baseline_aic_test': 5726.241287782774, 'augmented_aic_test': 6207.410705592779, 'aic_improvement': -481.16941781000514, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 0, 'fraction_positive_lift': 0.0, 'reason': 'ok'}, {'regime': 'stable_sleep', 'lag_epochs': 0, 'lag_label': 'lag_0', 'family': 'RNG_next', 'baseline_model': 'C2_RNG_next_given_RNG', 'augmented_model': 'C3_RNG_next_given_RNG_EEG', 'valid': True, 'primary': True, 'baseline_eps_test': 0.0, 'augmented_eps_test': 0.8, 'conditional_lift': 0.8, 'baseline_ll_test': -1267.0309236091891, 'augmented_ll_test': -1274.2703481417852, 'll_improvement': -7.239424532596104, 'baseline_bic_test': 2549.082708331134, 'augmented_bic_test': 2683.7284462983744, 'bic_improvement': -134.64573796724017, 'baseline_aic_test': 2538.0618472183783, 'augmented_aic_test': 2584.5406962835705, 'aic_improvement': -46.47884906519221, 'n_subjects_evaluated': 10, 'n_subjects_positive_lift': 4, 'fraction_positive_lift': 0.4, 'reason': 'ok'}]}"
F9,Lag / ablation stability,True,PASS,0.0,0.0,ok,"{'primary_max_lift': 0.8, 'secondary_max_lift': 0.8, 'any_meaningful_secondary': True}"
F10,Regime specificity,True,PASS,0.8,0.03,ok,"{'primary_max_lift': 0.8, 'secondary_max_lift': 0.8, 'primary_regimes': ['no_wake', 'stable_sleep'], 'secondary_regimes': ['deep_sleep', 'rem_only', 'transition_epochs']}"
F11,Multiple-comparison guard,True,PASS,0.0,0.0,no_strong_candidates_detected,"{'n_strong_candidates': 0, 'n_primary_strong_candidates': 0}"
